Alle Ereignislogmeldungen.
Datum:	2015-05-19 11:07:03
Systemname:	140-102896-2
Name der Steuerung:	192.168.1.2
Steuerungs-ID	140-102896

RobotWare:	5.61.2008
Key:	Pq4444ku65W-4444456a4iW4x#NdR58YwKVvA
Optionen:	
	RW Control module key
	RobotWare OS and English
	644-2 German
	709-x DeviceNet
		709-1 DeviceNet m/s
		840-2 PROFIBUS Fieldbus Adapter
		608-1 World Zones
		611-1 Path Recovery
		616-1 PC Interface
		617-1 FlexPendant Interface
		623-1 Multitasking

DriveModule1
Key:	jw2gFKxwee5
Optionen:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 140
			140T-6/0.8
			Drive System 09 120/140/1400/260
				No additional drive



Allgemeine Logmeldungen
SeqNr     	Typ 	Kategorie           	Fehlernummer	Bezeichnung                             	Datum               	Beschreibung	Argumente
6804      	I   	Betriebszustand     	10016   	Automatikbetrieb angefordert            	2015-05-11 16:09:31 	Das System wurde angewiesen, in den Automatikbetrieb zu wechseln.	{args: }
6805      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 16:09:31 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6806      	I   	Betriebszustand     	10017   	Automatikbetrieb bestätigt              	2015-05-11 16:09:36 	Das System befindet sich im Automatikbetrieb.	{args: }
6807      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-11 16:09:38 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
6808      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 16:09:43 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6809      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 16:09:43 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6810      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 16:09:43 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6811      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 16:09:43 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6812      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 16:09:43 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6813      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 16:09:44 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6814      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 16:09:47 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6815      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-11 16:09:47 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
6816      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-11 16:09:47 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
6817      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-11 16:09:47 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
6818      	E   	Bewegung            	50204   	Bewegungsüberwachung                    	2015-05-11 18:25:33 	Bewegungsüberwachung ausgelöst für Achse 3 an mechanischer Einheit ROB_1.	{args: "3", "ROB_1"}
